,Algorithm,Lowest KL,Average KL,Highest KL,Average Num of Edges,Average Num of Nodes
0,alg,0.0216043624252923,0.5654760435689926,6.756714866821896,4.266666666666667,5.0
1,bma,0.0574296876769258,0.6524087277062712,7.189168974745633,5.28,4.946666666666666
2,bma_lim_tabu,0.4387044019221738,0.5810437965977269,7.391038138189835,9.506666666666666,5.0
3,bma_rr,0.1056075051349757,0.6484805107294133,6.805135943250189,9.52,5.0
4,tabu,0.0467942398489608,0.47604158072740965,0.5966465403366067,5.12,5.0
5,tabu_lim,0.0509696027216277,0.5671573907986234,7.542233288045517,4.866666666666666,5.0
